representation,configuration,accuracy,precision,recall,f1,classifier
BoW,"ngram_range=(1,2), min_df=2",0.902793183422406,0.8989858818850666,0.9083785412899337,0.90365780531681,LogisticRegression
TF-IDF,"ngram_range=(1,2), min_df=2",0.8959362710497126,0.8856304985337243,0.9101868595539482,0.8977407847800237,LogisticRegression
