representation,configuration,classifier,accuracy,precision,recall,f1
Word2Vec,skipgram_200,LogisticRegression,0.8819199354643541,0.8790836653386455,0.8866787221217601,0.8828648594578373
FastText,skipgram_200,LogisticRegression,0.8819199354643541,0.8796887470071828,0.8858750251155314,0.8827710481529683
Doc2Vec,pv_dbow_100,LogisticRegression,0.893314510436624,0.898191424507214,0.8880851918826602,0.8931097191351788
